Test Type,Array Size,Algorithm,Comparisons,Time (ns)
Inverse Sorted Array,15,Insertion Sort,105,250
Random Array,16,Heap Sort,84,791
Random Array,16,Bubble Sort,120,584
Random Array,16,Selection Sort,120,584
Random Array,16,Insertion Sort,54,292
Sorted Array,16,Heap Sort,72,542
Sorted Array,16,Bubble Sort,120,250
Sorted Array,16,Selection Sort,120,291
Sorted Array,16,Insertion Sort,15,42
Inverse Sorted Array,16,Heap Sort,85,709
Inverse Sorted Array,16,Bubble Sort,120,500
Inverse Sorted Array,16,Selection Sort,120,459
Inverse Sorted Array,16,Insertion Sort,120,292
Random Array,17,Heap Sort,86,792
Random Array,17,Bubble Sort,136,667
Random Array,17,Selection Sort,136,583
Random Array,17,Insertion Sort,50,250
Sorted Array,17,Heap Sort,79,709
Sorted Array,17,Bubble Sort,136,292
Sorted Array,17,Selection Sort,136,292
Sorted Array,17,Insertion Sort,16,83
Inverse Sorted Array,17,Heap Sort,95,667
Inverse Sorted Array,17,Bubble Sort,136,458
Inverse Sorted Array,17,Selection Sort,136,500
Inverse Sorted Array,17,Insertion Sort,136,250
Random Array,18,Heap Sort,104,750
Random Array,18,Bubble Sort,153,750
Random Array,18,Selection Sort,153,541
Random Array,18,Insertion Sort,70,292
Sorted Array,18,Heap Sort,87,583
Sorted Array,18,Bubble Sort,153,291
Sorted Array,18,Selection Sort,153,250
Sorted Array,18,Insertion Sort,17,41
Inverse Sorted Array,18,Heap Sort,103,792
Inverse Sorted Array,18,Bubble Sort,153,625
Inverse Sorted Array,18,Selection Sort,153,625
Inverse Sorted Array,18,Insertion Sort,153,417
Random Array,19,Heap Sort,103,833
Random Array,19,Bubble Sort,171,791
Random Array,19,Selection Sort,171,708
Random Array,19,Insertion Sort,76,291
Sorted Array,19,Heap Sort,99,667
Sorted Array,19,Bubble Sort,171,333
Sorted Array,19,Selection Sort,171,291
Sorted Array,19,Insertion Sort,18,42
Inverse Sorted Array,19,Heap Sort,113,792
Inverse Sorted Array,19,Bubble Sort,171,583
Inverse Sorted Array,19,Selection Sort,171,458
Inverse Sorted Array,19,Insertion Sort,171,291
Random Array,20,Heap Sort,109,916
Random Array,20,Bubble Sort,190,750
Random Array,20,Selection Sort,190,666
Random Array,20,Insertion Sort,66,333
Sorted Array,20,Heap Sort,105,667
Sorted Array,20,Bubble Sort,190,375
Sorted Array,20,Selection Sort,190,333
Sorted Array,20,Insertion Sort,19,42
Inverse Sorted Array,20,Heap Sort,121,792
Inverse Sorted Array,20,Bubble Sort,190,625
Inverse Sorted Array,20,Selection Sort,190,542
Inverse Sorted Array,20,Insertion Sort,190,375
Random Array,21,Heap Sort,122,917
Random Array,21,Bubble Sort,210,833
Random Array,21,Selection Sort,210,834
Random Array,21,Insertion Sort,72,333
Sorted Array,21,Heap Sort,111,875
Sorted Array,21,Bubble Sort,210,375
Sorted Array,21,Selection Sort,210,417
Sorted Array,21,Insertion Sort,20,167
Inverse Sorted Array,21,Heap Sort,131,875
Inverse Sorted Array,21,Bubble Sort,210,750
Inverse Sorted Array,21,Selection Sort,210,584
Inverse Sorted Array,21,Insertion Sort,210,375
Random Array,22,Heap Sort,132,1084
Random Array,22,Bubble Sort,231,1000
Random Array,22,Selection Sort,231,833
Random Array,22,Insertion Sort,93,333
Sorted Array,22,Heap Sort,118,875
Sorted Array,22,Bubble Sort,231,416
Sorted Array,22,Selection Sort,231,375
Sorted Array,22,Insertion Sort,21,83
Inverse Sorted Array,22,Heap Sort,139,875
Inverse Sorted Array,22,Bubble Sort,231,750
Inverse Sorted Array,22,Selection Sort,231,750
Inverse Sorted Array,22,Insertion Sort,231,459
Random Array,23,Heap Sort,135,1208
Random Array,23,Bubble Sort,253,1209
Random Array,23,Selection Sort,253,1083
Random Array,23,Insertion Sort,81,709
Sorted Array,23,Heap Sort,130,1917
Sorted Array,23,Bubble Sort,253,1042
Sorted Array,23,Selection Sort,253,458
Sorted Array,23,Insertion Sort,22,84
Inverse Sorted Array,23,Heap Sort,149,16084
Inverse Sorted Array,23,Bubble Sort,253,917
Inverse Sorted Array,23,Selection Sort,253,667
Inverse Sorted Array,23,Insertion Sort,253,459
Random Array,24,Heap Sort,145,2625
Random Array,24,Bubble Sort,276,2375
Random Array,24,Selection Sort,276,1125
Random Array,24,Insertion Sort,104,458
Sorted Array,24,Heap Sort,137,1208
Sorted Array,24,Bubble Sort,276,583
Sorted Array,24,Selection Sort,276,667
Sorted Array,24,Insertion Sort,23,125
Inverse Sorted Array,24,Heap Sort,157,1333
Inverse Sorted Array,24,Bubble Sort,276,1083
Inverse Sorted Array,24,Selection Sort,276,958
Inverse Sorted Array,24,Insertion Sort,276,625
Random Array,25,Heap Sort,156,1334
Random Array,25,Bubble Sort,300,1292
Random Array,25,Selection Sort,300,1041
Random Array,25,Insertion Sort,91,375
Sorted Array,25,Heap Sort,143,1042
Sorted Array,25,Bubble Sort,300,500
Sorted Array,25,Selection Sort,300,500
Sorted Array,25,Insertion Sort,24,83
Inverse Sorted Array,25,Heap Sort,167,1208
Inverse Sorted Array,25,Bubble Sort,300,1167
Inverse Sorted Array,25,Selection Sort,300,833
Inverse Sorted Array,25,Insertion Sort,300,625
Random Array,26,Heap Sort,164,1250
Random Array,26,Bubble Sort,325,1208
Random Array,26,Selection Sort,325,1334
Random Array,26,Insertion Sort,110,417
Sorted Array,26,Heap Sort,150,958
